Card,Merchant,Merchant Industry,Industry Description,Date,Trans Amt,Balance
1002,,7399,Welding Repair,02/03/12 07:28:53,20.9,9146.64
1002,,8111,Women’s Accessory and Specialty Shops,02/03/12 07:40:31,15.52,9131.12
1002,,7999,"Business Services, Not Elsewhere Classified",02/03/12 07:43:32,9.99,9121.13
1002,,6399,Bicycle Shops - Sales and Service,02/03/12 07:52:30,1867.75,7253.38
1002,,8699,Automotive Tire Stores,02/03/12 07:59:01,29.75,7223.63
1002,,7841,"Court Costs, including Alimony and Child Support",02/03/12 08:14:08,279.29,6944.34
1002,,7523,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",02/03/12 08:27:11,9.99,6934.35
1002,,5641,"Non-durable Goods, Not Elsewhere Classified",02/03/12 08:31:49,11.5,6922.85
1002,,5735,Blueprinting and Photocopying Services,02/03/12 08:50:00,2.68,6920.17
1002,,5965,"Clothing Rental - Costumes, Formal Wear, Uniforms",02/03/12 08:55:59,3.59,6916.58
1003,,5732,Security Brokers/Dealers,02/03/12 06:12:46,14.1,4857
1003,,7992,Carpet and Upholstery Cleaning,02/03/12 06:19:31,104,4753
1003,,5967,Electrical Parts and Equipment,02/03/12 06:22:43,9.98,4743.02
1003,,5969,"Stationery, Office Supplies, Printing, and Writing Paper",02/03/12 06:27:58,27.25,4715.77
1003,,7993,Vocational Schools and Trade Schools,02/03/12 06:36:29,449.05,4266.72
1003,,5972,Car Rental Companies ( Not Listed Below),02/03/12 06:36:38,0,4266.72
1003,,5971,Cosmetic Stores,02/03/12 06:39:34,136,4130.72
1003,,8111,Mobile Home Dealers,02/03/12 06:46:24,457.6,3673.12
1003,,8699,Nursing and Personal Care Facilities,02/03/12 06:53:44,7.59,3665.53
1003,,7992,"Business Services, Not Elsewhere Classified",02/03/12 07:06:30,69,3596.53
1003,,7641,"Colleges, Junior Colleges, Universities, and Professional Schools",02/03/12 07:13:05,1,3595.53
1003,,7261,"Opticians, Opticians Goods and Eyeglasses",02/03/12 07:17:57,37,3558.53
1003,,7012,Wholesale Clubs,02/03/12 07:18:02,1036.8,2521.73
1003,,5976,Welding Repair,02/03/12 07:37:59,98.92,2422.81
1003,,8911,"Insurance Sales, Underwriting, and Premiums",02/03/12 07:57:57,1.18,2421.63
1003,,7692,"Insurance Premiums, (no longer valid for first presentment work)",02/03/12 07:58:01,71,2350.63
1003,,9222,Information Retrieval Services,02/03/12 08:10:46,0,2350.63
1003,,7534,Supermarkets,02/03/12 08:14:05,18.47,2332.16
1003,,5651,"Quick Copy, Reproduction and Blueprinting Services",02/03/12 08:14:39,0.5,2331.66
1003,,7992,Radio Repair Shops,02/03/12 08:22:45,144,2187.66
1003,,8071,Petroleum and Petroleum Products,02/03/12 08:41:43,81.9,2105.76
1003,,5311,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",02/03/12 08:44:43,5,2100.76
1003,,4829,Misc. General Merchandise,02/03/12 08:46:49,17.9,2082.86
1003,,7032,Duty Free Store,02/03/12 08:50:01,2.99,2079.87
1003,,5271,Glassware/Crystal Stores,02/03/12 08:56:05,5.91,2073.96
1003,,7033,Radio Repair Shops,02/03/12 08:59:26,4.49,2069.47
1004,,5999,Political Organizations,02/03/12 06:02:02,19.02,3272
1004,,5411,Bakeries,02/03/12 06:05:16,0.89,3271.11
1004,,5441,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",02/03/12 06:09:46,33.74,3237.37
1004,,5732,"Non - Financial Institutions - Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques",02/03/12 06:16:39,584.8,2652.57
1004,,5977,"Buying/Shopping Services, Clubs",02/03/12 06:20:50,18.69,2633.88
1004,,5411,"Non-durable Goods, Not Elsewhere Classified",02/03/12 06:22:04,20.91,2612.97
1004,,5300,Bowling Alleys,02/03/12 06:34:01,65.75,2547.22
1004,,8042,Used Merchandise and Secondhand Stores,02/03/12 06:43:41,14.9,2532.32
1004,,6300,Electrical Parts and Equipment,02/03/12 06:51:25,13.32,2519
1004,,5935,"Stationery, Office Supplies, Printing, and Writing Paper",02/03/12 06:54:11,1,2518
1004,,5832,Correspondence Schools,02/03/12 06:57:37,29.5,2488.5
1004,,5511,"Recreational and Utility Trailers, Camp Dealers",02/03/12 07:03:44,4,2484.5
1004,,5571,Office and Commercial Furniture,02/03/12 07:11:15,766.27,1718.23
1004,,6211,Vocational Schools and Trade Schools,02/03/12 07:13:02,8.28,1709.95
1004,,5699,"Photofinishing Laboratories, Photo Developing",02/03/12 07:16:10,11.5,1698.45
1004,,5733,Medical Services and Health Practitioners (Not Elsewhere Classified),02/03/12 07:24:17,1.29,1697.16
1004,,5949,Chiropractors,02/03/12 07:42:39,0,1697.16
1004,,5712,"Watch, Clock, and Jewelry Repair",02/03/12 07:46:45,2.58,1694.58
1004,,5399,Floor Covering Stores,02/03/12 07:51:34,127.69,1566.89
1004,,7372,Postal Services - Government Only,02/03/12 07:54:49,116.71,1450.18
1004,,7339,Correspondence Schools,02/03/12 08:24:05,10.62,1439.56
1004,,8031,"Colleges, Junior Colleges, Universities, and Professional Schools",02/03/12 08:31:10,27.65,1411.91
1004,,7276,Computer Software Stores,02/03/12 08:32:31,9.99,1401.92
1004,,8220,"Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)",02/03/12 08:36:17,213.07,1188.85
1004,,9211,"Hearing Aids - Sales, Service, and Supply Stores",02/03/12 08:42:19,587.46,601.39
1004,,7933,Golf Courses - Public,02/03/12 08:48:01,50,551.39
1004,,5965,"Drapery, Window Covering and Upholstery Stores",02/03/12 08:48:06,0,551.39
1004,,7297,Pawn Shops and Salvage Yards,02/03/12 08:53:54,48,503.39
1004,,8661,Commercial Footwear,02/03/12 08:56:44,87.86,415.53
1004,,5598,Radio Repair Shops,02/03/12 08:56:47,2.95,412.58
1005,,9311,"Fireplace, Fireplace Screens, and Accessories Stores",02/03/12 06:05:03,26.35,1281
1005,,7523,Car Washes,02/03/12 06:22:31,43.02,1237.98
1005,,5521,"Sewing, Needle, Fabric, and Price Goods Stores",02/03/12 06:30:48,15,1222.98
1005,,5531,"Counseling Service - Debt, Marriage, Personal",02/03/12 06:46:45,15.8,1207.18
1005,,6300,"Opticians, Optical Goods, and Eyeglasses (no longer valid for first presentments)",02/03/12 06:54:15,33,1174.18
1005,,8049,Automated Fuel Dispensers,02/03/12 07:04:49,149,1025.18
1005,,5972,Tent and Awning Shops,02/03/12 07:07:29,195.2,829.98
1005,,5967,Cable and other pay television (previously Cable Services),02/03/12 07:14:09,50,779.98
1005,,5511,Health and Beauty Shops,02/03/12 07:20:02,549.94,230.04
1005,,5561,"Insurance, Not Elsewhere Classified ( no longer valid for first presentment work)",02/03/12 07:28:14,75.97,154.07
1005,,5969,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing",02/03/12 07:28:44,38,116.07
1005,,7273,Repair Shops and Related Services - Miscellaneous,02/03/12 07:40:49,39,77.07
1005,,7349,Carpet and Upholstery Cleaning,02/03/12 07:51:30,1,76.07
1005,,5271,Podiatrists and Chiropodists,02/03/12 07:55:26,42.81,5033.26
1005,,4900,Hospitals,02/03/12 08:01:05,14.99,5018.27
1005,,5978,Massage Parlors,02/03/12 08:01:49,56.95,4961.32
1005,,5937,Postal Services - Government Only,02/03/12 08:07:12,9.45,4951.87
1005,,7933,Nursing and Personal Care Facilities,02/03/12 08:09:59,177.45,4774.42
1005,,5462,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",02/03/12 08:11:01,12.99,4761.43
1005,,5945,Men’s and Boy’s Clothing and Accessories Stores,02/03/12 08:11:49,61.92,4699.51
1005,,8675,Paint and Wallpaper Stores,02/03/12 08:11:57,1.98,4697.53
1005,,7349,Pawn Shops and Salvage Yards,02/03/12 08:12:57,246.78,4450.75
1005,,8220,Photographic Studios,02/03/12 08:15:44,19.95,4430.8
1005,,5935,Paint and Wallpaper Stores,02/03/12 08:26:21,229.99,4200.81
1005,,8044,Video Amusement Game Supplies,02/03/12 08:39:30,60.8,4140.01
1005,,7692,Automobile Parking Lots and Garages,02/03/12 08:49:12,1.5,4138.51
1005,,8241,Record Shops,02/03/12 08:53:58,9.99,4128.52
1005,,7922,Men’s Women’s and Children’s Uniforms and Commercial Clothing,02/03/12 08:55:03,1.98,4126.54
1006,,5968,Record Shops,02/03/12 06:00:56,5.49,4222
1006,,9950,Miscellaneous Apparel and Accessory Shops,02/03/12 06:06:14,0.76,4221.24
1006,,5699,Miscellaneous Home Furnishing Specialty Stores,02/03/12 06:16:42,24.95,4196.29
1006,,5065,"Bands. Orchestras, and Miscellaneous Entertainers (Not Elsewhere Classified)",02/03/12 06:18:17,53.98,4142.31
1006,,7922,Schools and Educational Services ( Not Elsewhere Classified),02/03/12 06:19:26,4.77,4137.54
1006,,5271,"Tailors, Seamstress, Mending, and Alterations",02/03/12 06:24:26,97.99,4039.55
1006,,5621,"Swimming Pools - Sales, Service, and Supplies",02/03/12 06:27:50,149.6,3889.95
1006,,7932,"Computer Maintenance and Repair Services, Not Elsewhere Classified",02/03/12 06:32:40,9.04,3880.91
1006,,7997,"Photofinishing Laboratories, Photo Developing",02/03/12 06:44:12,65.9,3815.01
1006,,5231,"Card Shops, Gift, Novelty, and Souvenir Shops",02/03/12 06:46:49,50.85,3764.16
1006,,9402,Business and Secretarial Schools,02/03/12 06:47:28,6.48,3757.68
1006,,5021,Video Game Arcades/Establishments,02/03/12 06:49:47,6.98,3750.7
1006,,8049,Car Washes,02/03/12 06:58:52,89.6,3661.1
1006,,5551,"Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques",02/03/12 07:01:11,2,3659.1
1006,,5051,Metal Service Centers and Offices,02/03/12 07:01:40,35.91,3623.19
1006,,8050,"Furniture, Furniture Repair, and Furniture Refinishing",02/03/12 07:04:35,32.03,3591.16
1006,,5532,Air Conditioning and Refrigeration Repair Shops,02/03/12 07:30:38,0.89,3590.27
1006,,9950,"Paints, Varnishes, and Supplies",02/03/12 07:32:24,0.89,3589.38
1006,,7394,Household Appliance Stores,02/03/12 07:38:59,307,3282.38
1006,,5933,Automobile Supply Stores,02/03/12 07:51:37,22.7,3259.68
1006,,7929,"Fuel - Fuel Oil, Wood, Coal, Liquefied Petroleum",02/03/12 08:10:12,83.51,3176.17
1006,,5598,Electrical Parts and Equipment,02/03/12 08:12:30,1,3175.17
1006,,5021,Men’s and Boy’s Clothing and Accessories Stores,02/03/12 08:18:14,0.76,3174.41
1006,,7276,Tent and Awning Shops,02/03/12 08:26:53,1.23,3173.18
1006,,7512,Miscellaneous and Specialty Retail Stores,02/03/12 08:37:16,5.47,3167.71
1006,,5944,Stenographic and Secretarial Support Services,02/03/12 08:38:17,30.6,3137.11
1006,,5131,Video Amusement Game Supplies,02/03/12 08:43:09,198,2939.11
1006,,5912,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",02/03/12 08:48:09,9.99,2929.12
1007,,7623,"Hobby, Toy, and Game Shops",02/03/12 06:05:20,55,1565
1007,,5198,Elementary and Secondary Schools,02/03/12 06:11:41,20.18,1544.82
1007,,5542,Advertising Services,02/03/12 06:16:48,9.99,3534.83
1007,,7911,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing",02/03/12 06:25:09,8.33,1526.5
1007,,5997,"Piece Goods, Notions, and Other Dry Goods",02/03/12 06:31:39,78.82,1447.68
1007,,7534,Financial Institutions - Merchandise and Services,02/03/12 06:37:54,14.9,1432.78
1007,,5719,Video Tape Rental Stores,02/03/12 06:39:12,71.15,1361.63
1007,,5969,"Fuel - Fuel Oil, Wood, Coal, Liquefied Petroleum",02/03/12 06:44:45,5.99,1355.64
1007,,7992,Air Conditioning and Refrigeration Repair Shops,02/03/12 06:51:45,6.51,1349.13
1007,,7278,Recreation Services (Not Elsewhere Classified),02/03/12 06:53:15,61.89,1287.24
1007,,7996,Postal Services - Government Only,02/03/12 06:55:16,412.67,874.57
1007,,7342,Medical and Dental Laboratories,02/03/12 07:26:54,1.98,872.59
1007,,5611,"Insurance Premiums, (no longer valid for first presentment work)",02/03/12 07:28:53,101.44,771.15
1007,,5921,Tent and Awning Shops,02/03/12 07:37:19,109,662.15
1007,,5211,Petroleum and Petroleum Products,02/03/12 07:48:54,7.99,654.16
1007,,5999,Eating places and Restaurants,02/03/12 07:52:40,136.89,517.27
1007,,5832,Air Conditioning and Refrigeration Repair Shops,02/03/12 08:08:37,0.89,516.38
1007,,5943,Money Orders - Wire Transfer,02/03/12 08:10:06,15.36,501.02
1007,,7542,Money Orders - Wire Transfer,02/03/12 08:10:18,78.65,422.37
1007,,7911,VisaPhone,02/03/12 08:10:20,296.6,125.77
1007,,5451,Hardware Stores,02/03/12 08:32:36,20,105.77
1007,,7011,Advertising Services,02/03/12 08:41:11,60.09,45.68
1007,,6381,Wallpaper Stores,02/03/12 08:42:06,22.66,23.02
1007,,5074,"Florists’ Supplies, Nursery Stock and Flowers",02/03/12 08:43:09,43.21,-20.19
1007,,5451,Automobile Supply Stores,02/03/12 08:44:57,99,1380.81
1007,,8299,Money Orders - Wire Transfer,02/03/12 08:46:06,25,1281.81
1007,,8111,"Cleaning and Maintenance, Janitorial Services",02/03/12 08:47:01,43.05,1256.81
1007,,7375,Bakeries,02/03/12 08:59:41,100.6,1213.76
1008,,8021,Religious Organizations,02/03/12 06:17:57,5.38,1979
1008,,7012,Optometrists and Ophthalmologists,02/03/12 06:29:20,50.28,1973.62
1008,,5719,Household Appliance Stores,02/03/12 06:34:16,49.95,1923.34
1008,,8931,"Drinking Places (Alcoholic Beverages), Bars, Taverns, Cocktail lounges, Nightclubs and Discotheques",02/03/12 06:35:26,35.24,1873.39
1008,,5094,"Furniture, Home Furnishings, and Equipment Stores, Except Appliances",02/03/12 06:39:08,15,1838.15
1008,,6300,"Counseling Service - Debt, Marriage, Personal",02/03/12 06:40:21,22.81,1823.15
1008,,7534,Glass Stores,02/03/12 06:45:20,231.8,1800.34
1008,,7996,Women’s Accessory and Specialty Shops,02/03/12 06:50:24,71.33,1568.54
1008,,8099,"Buying/Shopping Services, Clubs",02/03/12 06:52:05,15.09,1497.21
1008,,5192,Automated Fuel Dispensers,02/03/12 06:56:04,89.99,1482.12
1008,,4815,Child Care Services,02/03/12 06:58:11,8.8,1392.13
1008,,5122,"Construction Materials, Not Elsewhere Classified",02/03/12 07:00:33,116.24,1383.33
1008,,7929,Pawn Shops and Salvage Yards,02/03/12 07:02:29,987.16,1267.09
1008,,7933,Membership Organizations ( Not Elsewhere Classified),02/03/12 07:13:44,2.36,279.93
1008,,5655,Membership Organizations ( Not Elsewhere Classified),02/03/12 07:16:29,2.84,277.57
1008,,5571,Family Clothing Stores,02/03/12 07:17:38,5,274.73
1008,,5300,Computer Software Stores,02/03/12 07:17:40,7.7,269.73
1008,,8044,Discount Stores,02/03/12 07:23:34,1,262.03
1008,,8651,Elementary and Secondary Schools,02/03/12 07:27:12,44.11,261.03
1008,,7276,Massage Parlors,02/03/12 07:29:51,569.52,216.92
1009,,5411,Video Game Arcades/Establishments,02/03/12 06:00:13,1.29,2963
1009,,5621,Welding Repair,02/03/12 06:20:13,12.95,2950.05
1009,,5065,Telegraph services,02/03/12 06:22:00,81.75,2868.3
1009,,5972,Schools and Educational Services ( Not Elsewhere Classified),02/03/12 06:25:25,1.98,2866.32
1009,,5940,"Accounting, Auditing, and Bookkeeping Services",02/03/12 06:27:00,1,2865.32
1009,,7230,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",02/03/12 06:27:46,1,2864.32
1009,,8699,Used Merchandise and Secondhand Stores,02/03/12 06:34:42,0.76,2863.56
1009,,5814,Membership Organizations ( Not Elsewhere Classified),02/03/12 06:42:45,27.82,2835.74
1009,,5940,"Hearing Aids - Sales, Service, and Supply Stores",02/03/12 06:51:07,84.73,2751.01
1009,,5231,Advertising Services,02/03/12 06:58:51,9.99,2741.02
1009,,4814,Bakeries,02/03/12 07:00:26,289,2452.02
1009,,7394,Orthopedic Goods Prosthetic Devices,02/03/12 07:06:24,51,2401.02
1009,,7996,Automotive Service Shops,02/03/12 07:14:38,166,2235.02
1009,,8641,Wig and Toupee Stores,02/03/12 07:17:19,15.13,2219.89
1009,,5631,Motorcycle Dealers,02/03/12 07:23:19,60,2159.89
1010,,7531,Nut Stores,02/03/12 06:05:17,8.03,4961
1010,,7395,Direct Marketing - Catalog and Catalog and Retail Merchant Direct Marketing - Outbound Telemarketing Merchant,02/03/12 06:32:45,40,4921
1010,,7299,"Computer Maintenance and Repair Services, Not Elsewhere Classified",02/03/12 06:45:15,130.95,4790.05
1010,,7395,VisaPhone,02/03/12 06:47:27,33,4757.05
1010,,7399,Tire Re - treading and Repair Shops,02/03/12 06:58:55,9.99,4747.06
1010,,5131,Political Organizations,02/03/12 06:59:24,114.4,4632.66
1010,,5451,Automobile and Truck Dealers (Used Only),02/03/12 06:59:55,128.96,7003.7
1010,,7631,"Management, Consulting, and Public Relations Services",02/03/12 07:06:37,4.56,4499.14
1010,,7392,Golf Courses - Public,02/03/12 07:14:21,627.53,3871.61
1010,,5099,Miscellaneous and Specialty Retail Stores,02/03/12 07:26:34,1.54,3870.07
1010,,5698,"Insurance Sales, Underwriting, and Premiums",02/03/12 07:28:26,584,3286.07
1010,,5719,"Stationery Stores, Office and School Supply Stores",02/03/12 07:54:31,176.95,3109.12
1010,,5994,"Card Shops, Gift, Novelty, and Souvenir Shops",02/03/12 07:56:09,31.44,3077.68
1010,,5072,Tax Payments,02/03/12 08:03:53,326.4,2751.28
1010,,7342,Protective and Security Services - Including Armored Cars and Guard Dogs,02/03/12 08:28:47,111.38,2639.9
1010,,5931,Chiropractors,02/03/12 08:31:30,156,2483.9
1010,,7629,Schools and Educational Services ( Not Elsewhere Classified),02/03/12 08:33:34,265.89,2218.01
1010,,5137,Medical and Dental Laboratories,02/03/12 08:42:07,28.49,2189.52
1010,,5651,"Tailors, Seamstress, Mending, and Alterations",02/03/12 08:42:57,1.79,2187.73
1010,,7534,Legal Services and Attorneys,02/03/12 08:48:15,110.67,2077.06
1011,,6012,Children’s and Infant’s Wear Stores,02/03/12 06:03:21,145.6,3318
1011,,8011,Disinfecting Services,02/03/12 06:04:30,53.21,3264.79
1011,,5722,"Dance Halls, Studios and Schools",02/03/12 06:05:38,1.9,3262.89
1011,,5074,Direct Marketing - Catalog and Catalog and Retail Merchant Direct Marketing - Outbound Telemarketing Merchant,02/03/12 06:09:19,38.66,3224.23
1011,,5943,Motorcycle Dealers,02/03/12 06:15:45,34.42,3189.81
1011,,6300,Financial Institutions - Manual Cash Disbursements,02/03/12 06:30:40,60,3129.81
1011,,7832,Direct Marketing - Not Elsewhere Classified,02/03/12 06:45:18,10.62,3619.19
1011,,7298,"Amusement Parks, Carnivals, Circuses, Fortune Tellers",02/03/12 06:48:10,40,3608.57
1011,,8675,"Opticians, Optical Goods, and Eyeglasses (no longer valid for first presentments)",02/03/12 06:49:01,197.72,3568.57
1011,,5972,Men’s and Boy’s Clothing and Accessories Stores,02/03/12 06:49:07,9.99,3370.85
1011,,5013,Stenographic and Secretarial Support Services,02/03/12 06:50:37,530.88,3360.86
1011,,8111,Motor Home Dealers,02/03/12 06:58:48,5.72,2829.98
1011,,5943,Direct Marketing - Insurance Service,02/03/12 07:06:24,7.38,2824.26
1011,,7542,Men’s and Boy’s Clothing and Accessories Stores,02/03/12 07:15:02,3.95,2816.88
1011,,7277,"Opticians, Optical Goods, and Eyeglasses (no longer valid for first presentments)",02/03/12 07:22:04,15,2812.93
1011,,5699,Miscellaneous Home Furnishing Specialty Stores,02/03/12 07:25:34,808.4,2797.93
1011,,7297,Meat Provisioners – Freezer and Locker,02/03/12 07:27:26,552.42,1989.53
1011,,5331,Paint Shops - Automotive,02/03/12 07:29:21,52.52,1437.11
1011,,7993,Health and Beauty Shops,02/03/12 07:40:22,1024.84,1384.59
1011,,5735,Wallpaper Stores,02/03/12 07:44:53,78.2,359.75
1011,,8049,Direct Marketing - Not Elsewhere Classified,02/03/12 07:54:01,140,281.55
1011,,5996,"Automotive Parts, Accessories Stores",02/03/12 08:02:50,12.5,141.55
1011,,5231,Door - to - Door Sales,02/03/12 08:05:39,23.49,129.05
1011,,5533,"Florists’ Supplies, Nursery Stock and Flowers",02/03/12 08:10:21,0,105.56
1011,,7699,Caterers,02/03/12 08:13:48,4.49,105.56
1011,,6011,"Insurance Premiums, (no longer valid for first presentment work)",02/03/12 08:14:36,1.29,101.07
1011,,8011,"Drugs, Drug Proprietors, and Druggist’s Sundries",02/03/12 08:16:28,129.21,99.78
